query_run_date,query_period,periods_back,days_back,result_count,date_query_start,date_query_end
"2014-04-10","weeks","14","98","64000","2014-01-02","2014-01-09"
"2014-04-10","weeks","15","105","105000","2013-12-26","2014-01-02"
"2014-04-10","weeks","16","112","105000","2013-12-19","2013-12-26"
"2014-04-10","weeks","17","119","104000","2013-12-12","2013-12-19"
"2014-04-10","weeks","18","126","105000","2013-12-05","2013-12-12"
"2014-04-10","weeks","19","133","105000","2013-11-28","2013-12-05"
"2014-04-10","weeks","20","140","105000","2013-11-21","2013-11-28"
"2014-04-10","weeks","21","147","423000","2013-11-14","2013-11-21"
"2014-04-10","weeks","22","154","885000","2013-11-07","2013-11-14"
